date,time,province,confirmed,released,deceased
2020-06-01,0,Seoul,862,627,4
2020-06-01,0,Busan,147,138,3
2020-06-01,0,Daegu,6884,6610,186
2020-06-01,0,Incheon,224,98,0
2020-06-01,0,Gwangju,32,30,0
2020-06-01,0,Daejeon,46,42,1
2020-06-01,0,Ulsan,52,45,1
2020-06-01,0,Sejong,47,47,0
2020-06-01,0,Gyeonggi-do,852,657,19
2020-06-01,0,Gangwon-do,57,50,3
2020-06-01,0,Chungcheongbuk-do,60,49,0
2020-06-01,0,Chungcheongnam-do,146,142,0
2020-06-01,0,Jeollabuk-do,21,19,0
2020-06-01,0,Jeollanam-do,20,17,0
2020-06-01,0,Gyeongsangbuk-do,1379,1296,54
2020-06-01,0,Gyeongsangnam-do,123,121,0
2020-06-01,0,Jeju-do,15,13,0
2020-06-02,0,Seoul,876,638,4
2020-06-02,0,Busan,147,138,3
2020-06-02,0,Daegu,6884,6616,187
2020-06-02,0,Incheon,232,98,0
2020-06-02,0,Gwangju,32,30,0
2020-06-02,0,Daejeon,46,42,1
2020-06-02,0,Ulsan,52,45,1
2020-06-02,0,Sejong,47,47,0
2020-06-02,0,Gyeonggi-do,867,660,19
2020-06-02,0,Gangwon-do,57,51,3
2020-06-02,0,Chungcheongbuk-do,60,49,0
2020-06-02,0,Chungcheongnam-do,146,142,0
2020-06-02,0,Jeollabuk-do,21,19,0
2020-06-02,0,Jeollanam-do,20,17,0
2020-06-02,0,Gyeongsangbuk-do,1379,1297,54
2020-06-02,0,Gyeongsangnam-do,123,121,0
2020-06-02,0,Jeju-do,15,13,0
2020-06-03,0,Seoul,895,639,4
2020-06-03,0,Busan,147,138,3
2020-06-03,0,Daegu,6885,6626,188
2020-06-03,0,Incheon,249,98,0
2020-06-03,0,Gwangju,32,30,0
2020-06-03,0,Daejeon,46,42,1
2020-06-03,0,Ulsan,52,45,1
2020-06-03,0,Sejong,47,47,0
2020-06-03,0,Gyeonggi-do,879,662,19
2020-06-03,0,Gangwon-do,57,51,3
2020-06-03,0,Chungcheongbuk-do,60,49,0
2020-06-03,0,Chungcheongnam-do,146,142,0
2020-06-03,0,Jeollabuk-do,21,19,0
2020-06-03,0,Jeollanam-do,20,17,0
2020-06-03,0,Gyeongsangbuk-do,1379,1298,54
2020-06-03,0,Gyeongsangnam-do,123,121,0
2020-06-03,0,Jeju-do,15,13,0
2020-06-04,0,Seoul,909,644,4
2020-06-04,0,Busan,147,138,3
2020-06-04,0,Daegu,6885,6634,188
2020-06-04,0,Incheon,256,105,0
2020-06-04,0,Gwangju,32,30,0
2020-06-04,0,Daejeon,46,42,1
2020-06-04,0,Ulsan,52,46,1
2020-06-04,0,Sejong,47,47,0
2020-06-04,0,Gyeonggi-do,894,665,19
2020-06-04,0,Gangwon-do,57,51,3
2020-06-04,0,Chungcheongbuk-do,60,49,0
2020-06-04,0,Chungcheongnam-do,146,142,0
2020-06-04,0,Jeollabuk-do,21,19,0
2020-06-04,0,Jeollanam-do,20,17,0
2020-06-04,0,Gyeongsangbuk-do,1380,1301,54
2020-06-04,0,Gyeongsangnam-do,123,121,0
2020-06-04,0,Jeju-do,15,13,0
2020-06-05,0,Seoul,924,645,4
2020-06-05,0,Busan,147,138,3
2020-06-05,0,Daegu,6886,6634,188
2020-06-05,0,Incheon,262,107,0
2020-06-05,0,Gwangju,32,30,0
2020-06-05,0,Daejeon,46,42,1
2020-06-05,0,Ulsan,52,46,1
2020-06-05,0,Sejong,47,47,0
2020-06-05,0,Gyeonggi-do,907,665,19
2020-06-05,0,Gangwon-do,57,51,3
2020-06-05,0,Chungcheongbuk-do,60,49,0
2020-06-05,0,Chungcheongnam-do,147,143,0
2020-06-05,0,Jeollabuk-do,21,19,0
2020-06-05,0,Jeollanam-do,20,17,0
2020-06-05,0,Gyeongsangbuk-do,1382,1302,54
2020-06-05,0,Gyeongsangnam-do,123,121,0
2020-06-05,0,Jeju-do,15,13,0
2020-06-06,0,Seoul,947,650,4
2020-06-06,0,Busan,147,139,3
2020-06-06,0,Daegu,6886,6638,188
2020-06-06,0,Incheon,273,10,0
2020-06-06,0,Gwangju,32,30,0
2020-06-06,0,Daejeon,46,42,1
