,Unnamed: 0,date,section,title,view
15540,15540,20200710,Society,박원순 서울시장 북악산 숙정문 인근서 숨진 채 발견(종합),2074638
15541,15541,20200710,Society,"박원순 유언 ""모든 분에게 죄송…고통밖에 못준 가족에 미안""(종합)",1271827
3120,3120,20200223,Society,"코로나19 3·4번째 사망자 발생…확진자 123명 추가, 총 556명(종합…",1221558
3930,3930,20200303,Society,자가격리 중 여친과 여행 들통 나대한 “죄송하다”,1180960
5280,5280,20200318,Society,대구서 폐렴 증세 17세 소년 사망…코로나19 검사 중(종합),1151635
5730,5730,20200323,Society,[단독] '박사방' 운영자 신상 공개…25살 조주빈,1110954
1050,1050,20200131,Society,'신종코로나' 7번째 확진자 발생…우한서 입국한 28세 한국남성(종…,1099316
19140,19140,20200819,Society,"[단독]박현 교수 ""난생 처음 본 후유증…완치란 말에 속지말라""",1069896
3750,3750,20200301,Society,3.1절에 ‘차이나 게이트’가 실검 1위에 오른 이유,1033062
4020,4020,20200304,Society,"[단독]신천지 홈페이지, 해킹 당했다... ""중학생에 다털렸죠""",1010174
5550,5550,20200321,Society,[단독] 앞에선 학보사 기자…n번방 ‘박사’ 두 얼굴 공범들도 몰랐다,983264
17160,17160,20200728,Society,최동석·박지윤 가족 구사일생…차량 보닛 종잇장처럼 구겨져(종합),977132
3121,3121,20200223,Society,"“신천지, 중국인, 대구…” 쓰러져 횡설수설하더니 검사 중 도주극",965324
15450,15450,20200709,Society,[속보] 박원순 성북동서 실종…경찰에 '미투 신고',931343
4021,4021,20200304,Society,사스·메르스 항체에서 코로나19 무력화하는 항체 찾았다,922638
5910,5910,20200325,Society,"'박사방' 조주빈 ""피해자에 사죄…악마의 삶 멈춰줘서 감사""(종합)",920892
2670,2670,20200218,Society,대구서 '코로나19' 31번째 환자…해외여행력없는 61세 여성(종합),917132
12120,12120,20200602,Society,[단독] KBS 女화장실 몰카 설치범은 KBS 공채 출신 개그맨,911727
9510,9510,20200504,Society,"""'학폭논란' 이원일 약혼녀 김유진 PD, 극단선택후 의식불명""",910691
2940,2940,20200221,Society,"코로나19 확진자 52명 추가, 총 156명…대구·경북만 111명(종합)",897660
9780,9780,20200507,Society,[단독]용인 확진자와 클럽 같이간 친구도 코로나19 확진 '감염 확산…,865164
3030,3030,20200222,Society,코로나19 확진자 142명 추가…대남병원·신천지서 130명(종합),859119
15542,15542,20200710,Society,박원순 시신 서울대병원 안치…지지자들 “일어나라” 오열,828481
20130,20130,20200830,Society,양떼목장 글에 대뜸 성관계 영상…'여행에 미치다' SNS 파문,827174
19410,19410,20200822,Society,"중형태풍 '바비' 북상…""26일 한반도 상륙, 막대한 영향""(종합)",825729
15451,15451,20200709,Society,[속보] 공관에서 '박원순 유서 발견'…시민들 공관 찾기도,815408
14280,14280,20200626,Society,[단독] 엘리베이터에서 손 소독제 쓰려다...5살 아이 '각막 화상',812268
15543,15543,20200710,Society,[속보] 박원순 서울시장 숨진 채 발견… 실종 7시간 만에,812177
3840,3840,20200302,Society,‘알려지면 죽는다’ 협박… 구청 전화 받는 신천지 반응,793557
20220,20220,20200831,Society,[단독] 꽃보다 ‘생명’…쓰러진 주방장 응급처치하고 떠난 김현중,791163
5100,5100,20200316,Society,수도권 또 집단감염…성남 은혜의강 교회 하루새 40명 확진(종합),787183
3210,3210,20200224,Society,"""난 신천지 교인입니다"" 대구 서구 코로나 총괄팀장도 확진",783178
15452,15452,20200709,Society,"""박원순 시장 실종"" 딸이 신고…경찰, 성북구 일대 수색(종합)",779793
16260,16260,20200718,Society,"""말도 못 해요. 징그러워서""...대벌레 은평 봉산 무더기 출몰",766184
15453,15453,20200709,Society,"신현준 前매니저 폭로 ""13년간 1억도 못 받아, 죽음까지 생각""",766099
17520,17520,20200801,Society,여자프로배구 고유민 선수 자택서 숨진 채 발견,761708
19860,19860,20200827,Society,“더 큰 위력” 바비 지나고 9호 태풍 마이삭 10호 하이선 오나(종합),750840
15000,15000,20200704,Society,배우 김민교 반려견에 물린 80대 할머니 치료 중 숨져,745715
19950,19950,20200828,Society,[종합] 음식점 등 저녁 9시 이후 비대면...사회적 거리두기 2.5단계,743963
17161,17161,20200728,Society,[단독]최동석·박지윤 아나운서 부부 가족 교통사고…역주행 트럭에…,741492
18600,18600,20200813,Society,"상사와 성관계로 입사? 기안84 또 여혐논란, 靑청원 등장",739064
15454,15454,20200709,Society,"[종합] 박원순 연락두절 실종…경찰 ""미투 신고 접수""",735747
15544,15544,20200710,Society,박원순 유언장 공개... “모든 분에 죄송하고 삶 함께 해준 분들에 …,722425
2490,2490,20200216,Society,코로나19 80대 확진자 1명 추가…29번째 환자(상보),715744
19680,19680,20200825,Society,"역대 5위급 강풍 동반 태풍 '바비' 북상 중…""걷기 힘들 정도""(종합…",713532
1590,1590,20200206,Society,[단독]19번 환자는 서울 송파구 거주…‘강남 3구’서 첫 확진자,710457
6990,6990,20200406,Society,"""격리비 140만원 못낸다"" 버티던 대만인 첫 강제추방 당했다",706662
1230,1230,20200202,Society,'신종코로나' 국내 확진환자 15명…1명은 '우한 교민'(종합),703108
3122,3122,20200223,Society,김포 확진자 부부의 16개월 딸도 코로나 확진…국내 최연소(종합),700893
5010,5010,20200315,Society,아내·아들 살해한 50대 가장에 대한 이웃들의 충격적 증언,698151
