,date,confirmed
0,20200120,1.0
1,20200121,1.0
2,20200122,1.0
3,20200123,1.0
4,20200124,2.0
5,20200125,2.0
6,20200126,3.0
7,20200127,4.0
8,20200128,4.0
9,20200129,4.0
10,20200130,6.0
11,20200131,11.0
12,20200201,12.0
13,20200202,15.0
14,20200203,15.0
15,20200204,16.0
16,20200205,18.0
17,20200206,23.0
18,20200207,24.0
19,20200208,24.0
20,20200209,27.0
21,20200210,27.0
22,20200211,28.0
23,20200212,28.0
24,20200213,28.0
25,20200214,28.0
26,20200215,28.0
27,20200216,29.0
28,20200217,30.0
29,20200218,31.0
30,20200219,51.0
31,20200220,104.0
32,20200221,204.0
33,20200222,433.0
34,20200223,602.0
35,20200224,833.0
36,20200225,977.0
37,20200226,1261.0
38,20200227,1766.0
39,20200228,2337.0
40,20200229,3150.0
41,20200301,3736.0
42,20200302,4212.0
43,20200303,4812.0
44,20200304,5328.0
45,20200305,5766.0
46,20200306,6284.0
47,20200307,6767.0
48,20200308,7134.0
49,20200309,7382.0
50,20200310,7513.0
51,20200311,7755.0
52,20200312,7869.0
53,20200313,7979.0
54,20200314,8086.0
55,20200315,8126.0
56,20200316,8236.0
57,20200317,8320.0
58,20200318,8413.0
59,20200319,8565.0
60,20200320,8652.0
61,20200321,8799.0
62,20200322,8897.0
63,20200323,8961.0
64,20200324,9037.0
65,20200325,9137.0
66,20200326,9241.0
67,20200327,9332.0
68,20200328,9478.0
69,20200329,9583.0
70,20200330,9661.0
71,20200331,9786.0
72,20200401,9887.0
73,20200402,9976.0
74,20200403,10062.0
75,20200404,10156.0
76,20200405,10237.0
77,20200406,10284.0
78,20200407,10331.0
79,20200408,10384.0
80,20200409,10423.0
81,20200410,10450.0
82,20200411,10480.0
83,20200412,10512.0
84,20200413,10537.0
85,20200414,10564.0
86,20200415,10591.0
87,20200416,10613.0
88,20200417,10635.0
89,20200418,10653.0
90,20200419,10661.0
91,20200420,10674.0
92,20200421,10683.0
93,20200422,10694.0
94,20200423,10702.0
95,20200424,10708.0
96,20200425,10718.0
97,20200426,10728.0
98,20200427,10738.0
99,20200428,10752.0
100,20200429,10761.0
101,20200430,10765.0
102,20200501,10774.0
103,20200502,10780.0
104,20200503,10793.0
105,20200504,10801.0
106,20200505,10804.0
107,20200506,10806.0
108,20200507,10810.0
109,20200508,10822.0
110,20200509,10840.0
111,20200510,10874.0
112,20200511,10909.0
113,20200512,10936.0
114,20200513,10962.0
115,20200514,10991.0
116,20200515,11018.0
117,20200516,11037.0
118,20200517,11050.0
119,20200518,11065.0
120,20200519,11078.0
121,20200520,11110.0
122,20200521,11122.0
123,20200522,11142.0
124,20200523,11165.0
125,20200524,11190.0
126,20200525,11206.0
127,20200526,11225.0
128,20200527,11265.0
129,20200528,11344.0
130,20200529,11402.0
131,20200530,11441.0
132,20200531,11468.0
133,20200601,11503.0
134,20200602,11541.0
135,20200603,11590.0
136,20200604,11629.0
137,20200605,11668.0
138,20200606,11719.0
139,20200607,11776.0
140,20200608,11814.0
141,20200609,11852.0
142,20200610,11902.0
143,20200611,11947.0
144,20200612,12003.0
145,20200613,12051.0
146,20200614,12084.0
147,20200615,12121.0
148,20200616,12155.0
149,20200617,12198.0
150,20200618,12257.0
151,20200619,12306.0
152,20200620,12373.0
153,20200621,12421.0
154,20200622,12438.0
155,20200623,12484.0
156,20200624,12535.0
157,20200625,12563.0
158,20200626,12602.0
159,20200627,12653.0
160,20200628,12715.0
161,20200629,12757.0
162,20200630,12800.0
163,20200701,12850.0
164,20200702,12904.0
165,20200703,12967.0
166,20200704,
167,20200705,13089.0
168,20200706,13137.0
169,20200707,13181.0
170,20200708,13244.0
171,20200709,13293.0
172,20200710,13338.0
173,20200711,
174,20200712,13417.0
175,20200713,13479.0
176,20200714,13512.0
177,20200715,13551.0
178,20200716,13612.0
179,20200717,13672.0
180,20200718,13711.0
181,20200719,13750.0
182,20200720,13816.0
183,20200721,13816.0
184,20200722,13879.0
185,20200723,13938.0
186,20200724,13979.0
187,20200725,14092.0
188,20200726,14150.0
189,20200727,14175.0
190,20200728,14203.0
191,20200729,14251.0
192,20200730,14269.0
193,20200731,14305.0
194,20200801,14336.0
195,20200802,14366.0
196,20200803,14389.0
197,20200804,14423.0
198,20200805,14456.0
199,20200806,14499.0
200,20200807,14519.0
201,20200808,14562.0
202,20200809,14598.0
203,20200810,14626.0
204,20200811,14660.0
205,20200812,14714.0
206,20200813,14770.0
207,20200814,14873.0
208,20200815,15039.0
209,20200816,15318.0
210,20200817,15515.0
211,20200818,15761.0
212,20200819,16058.0
213,20200820,16346.0
214,20200821,16670.0
215,20200822,17002.0
216,20200823,17399.0
217,20200824,17665.0
218,20200825,17945.0
219,20200826,18265.0
220,20200827,18706.0
221,20200828,19077.0
222,20200829,19400.0
223,20200830,19699.0
224,20200831,19947.0
