date,time,test,negative,confirmed,released,deceased
2020-08-01,0,1571830,1539216,14336,13233,301
2020-08-02,0,1576246,1544112,14366,13259,301
2020-08-03,0,1579757,1547967,14389,13280,301
2020-08-04,0,1589780,1556633,14423,13352,301
2020-08-05,0,1598187,1565241,14456,13406,302
2020-08-06,0,1606487,1573957,14499,13501,302
2020-08-07,0,1613652,1582065,14519,13543,303
2020-08-08,0,1620514,1589847,14562,13629,304
2020-08-09,0,1624650,1593249,14598,13642,305
2020-08-10,0,1628303,1597281,14626,13658,305
2020-08-11,0,1637844,1605695,14660,13729,305
2020-08-12,0,1646652,1614653,14714,13786,305
2020-08-13,0,1654898,1622330,14770,13817,305
2020-08-14,0,1665084,1630079,14873,13863,305
2020-08-15,0,1675296,1638639,15039,13901,305
2020-08-16,0,1681787,1644464,15318,13910,305
2020-08-17,0,1688470,1649991,15515,13917,305
2020-08-18,0,1697042,1656062,15761,13934,306
2020-08-19,0,1715064,1667984,16058,14006,306
2020-08-20,0,1734083,1682739,16346,14063,307
2020-08-21,0,1754123,1699408,16670,14120,309
2020-08-22,0,1775800,1716371,17002,14169,309
2020-08-23,0,1791186,1726223,17399,14200,309
2020-08-24,0,1804422,1738762,17665,14219,309
2020-08-25,0,1825837,1757530,17945,14286,310
2020-08-26,0,1849506,1778446,18265,14368,312
2020-08-27,0,1869579,1798832,18706,14461,313
2020-08-28,0,1887717,1817929,19077,14551,316
2020-08-29,0,1909329,1835883,19400,14765,321
2020-08-30,0,1924170,1846450,19699,14903,323
2020-08-31,0,1937689,1859866,19947,14973,324
