date,time,province,confirmed,released,deceased
2020-07-01,0,Seoul,1321,1026,7
2020-07-01,0,Busan,154,142,3
2020-07-01,0,Daegu,6907,6700,189
2020-07-01,0,Incheon,343,294,1
2020-07-01,0,Gwangju,56,32,0
2020-07-01,0,Daejeon,121,44,1
2020-07-01,0,Ulsan,55,52,1
2020-07-01,0,Sejong,50,47,0
2020-07-01,0,Gyeonggi-do,1223,951,23
2020-07-01,0,Gangwon-do,65,55,3
2020-07-01,0,Chungcheongbuk-do,64,60,0
2020-07-01,0,Chungcheongnam-do,168,150,0
2020-07-01,0,Jeollabuk-do,27,21,0
2020-07-01,0,Jeollanam-do,25,19,0
2020-07-01,0,Gyeongsangbuk-do,1389,1328,54
2020-07-01,0,Gyeongsangnam-do,134,128,0
2020-07-01,0,Jeju-do,19,16,0
2020-07-02,0,Seoul,1334,1054,7
2020-07-02,0,Busan,154,146,3
2020-07-02,0,Daegu,6910,6702,189
2020-07-02,0,Incheon,343,302,1
2020-07-02,0,Gwangju,78,32,0
2020-07-02,0,Daejeon,122,44,1
2020-07-02,0,Ulsan,55,52,1
2020-07-02,0,Sejong,50,47,0
2020-07-02,0,Gyeonggi-do,1233,967,23
2020-07-02,0,Gangwon-do,65,55,3
2020-07-02,0,Chungcheongbuk-do,64,61,0
2020-07-02,0,Chungcheongnam-do,171,150,0
2020-07-02,0,Jeollabuk-do,27,22,0
2020-07-02,0,Jeollanam-do,25,19,0
2020-07-02,0,Gyeongsangbuk-do,1389,1328,54
2020-07-02,0,Gyeongsangnam-do,134,128,0
2020-07-02,0,Jeju-do,19,16,0
2020-07-03,0,Seoul,1346,1085,7
2020-07-03,0,Busan,154,146,3
2020-07-03,0,Daegu,6923,6703,189
2020-07-03,0,Incheon,344,311,1
2020-07-03,0,Gwangju,84,32,0
2020-07-03,0,Daejeon,126,45,1
2020-07-03,0,Ulsan,55,52,1
2020-07-03,0,Sejong,50,47,0
2020-07-03,0,Gyeonggi-do,1251,987,23
2020-07-03,0,Gangwon-do,65,55,3
2020-07-03,0,Chungcheongbuk-do,64,61,0
2020-07-03,0,Chungcheongnam-do,172,150,0
2020-07-03,0,Jeollabuk-do,28,22,0
2020-07-03,0,Jeollanam-do,25,19,0
2020-07-03,0,Gyeongsangbuk-do,1390,1329,54
2020-07-03,0,Gyeongsangnam-do,136,129,0
2020-07-03,0,Jeju-do,19,16,0
2020-07-04,0,Seoul,1353,1103,8
2020-07-04,0,Busan,155,146,3
2020-07-04,0,Daegu,6924,6707,189
2020-07-04,0,Incheon,346,317,1
2020-07-04,0,Gwangju,95,32,0
2020-07-04,0,Daejeon,129,45,1
