,Unnamed: 0,date,section,title,view
6390,6390,20200331,politics,"정 총리 ""4월 9일부터 순차 온라인 개학…등교는 연기""(종합)",1222359
15390,15390,20200709,politics,"박원순 연락두절…딸 ""유언 같은 말 남기고 휴대폰 꺼졌다""",1033669
3330,3330,20200226,politics,“중국 대통령 보는 것 같다” ‘문재인 탄핵’ 청원 50만 돌파,871961
6300,6300,20200330,politics,[단독] 4월 6일 고3 또는 고교부터 ‘온라인 개학’ 할 듯,867050
3690,3690,20200301,politics,대구 내려간 '의사' 안철수 부부…방호복 입고 진료 자원봉사(종합),751691
15480,15480,20200710,politics,"[단독] 박원순, 실종 당일 정세균에게 ""너무 힘들다. 죄송하다""",749700
20160,20160,20200831,politics,"""유사시 北에 남한 의사 파견한다"" 발칵 뒤집은 민주당 법안",723426
8370,8370,20200422,politics,"[단독]정부당국 ""김정은, 강원도 별장 머물며 비공개 현지지도""",721943
3960,3960,20200304,politics,"의사인 이낙연 아들 ""코로나는 코로 나온다"" 실언 논란",673516
15750,15750,20200713,politics,"""이순신도 관노와 잠자리""…’미투’ 그녀는 홀로 떨고 있다",673036
720,720,20200128,politics,"원종건 ""미투 폭로자는 한때 사랑한 여성..함께 고통 받겠다"" (전문…",635526
15481,15481,20200710,politics,"""박시장이 성추행 하고 사진을 보냈어요"" 前비서 경찰에 고소",629325
3240,3240,20200225,politics,"당정청 ""대구·경북 최대 봉쇄조치…지역출입 자체 막는건 아냐""(종…",629088
7740,7740,20200415,politics,"""민주·시민, 단독 과반의석 전망…통합·한국당 참패""[지상파3사 …",616037
19800,19800,20200827,politics,文에 따박따박 직언 올린 청원···'시무7조 상소문' 숨겨졌다 [전…,597105
5760,5760,20200324,politics,"경기도 ""도민 1천326만명에 재난기본소득 10만원씩 지급""(종합)",559015
6480,6480,20200401,politics,"“문재인, 교도소서 무상급식 먹여야”-“모든 국민에 월 60만원”",557872
13320,13320,20200616,politics,"북한, 개성 연락사무소 폭파…경고 사흘 만에 '속전속결'(종합)",556398
19710,19710,20200826,politics,"""성관계 하고싶어져, 재밌거든"" 여가부 초등생 성교육책 논란",555905
6210,6210,20200329,politics,“교회 감염 거의 없다…의료체계 故박정희 덕” 황교안 페북글,549842
20161,20161,20200831,politics,"조은산, 림태주에 반격 ""2000만 백성 짓밟는 게 정의냐"" [전문]",549187
3780,3780,20200302,politics,"‘서울대 의학박사’ 안철수, 땀 범벅 의료복… 누리꾼 “정치인생 중 …",547764
6301,6301,20200330,politics,"문대통령 ""1천400만 가구에 4인 기준 100만원 긴급재난지원금""(종합…",537633
8550,8550,20200424,politics,[단독] 美당국자 “김정은 원산서 걷는 모습 포착”,521190
19080,19080,20200819,politics,"""의원 3번했어!"" 경찰에 호통친 김문수 ""코로나 강제연행 탓""",514213
15482,15482,20200710,politics,[속보] 박원순 서울시장 숨진 채 발견…실종신고 7시간만,509339
8551,8551,20200424,politics,부대 인근 골프장서 갑자기 쓰러진 여성···머리서 탄두 나왔다,509098
3781,3781,20200302,politics,[단독]靑 전·현직 모두 “신천지 이만희가 찬 ‘박근혜 시계’는 가짜…,503902
7830,7830,20200416,politics,"민주·시민, 21대 총선 180석 확보…'슈퍼여당' 탄생(종합)",503757
16920,16920,20200726,politics,[단독]월북 하루 전 112신고 있었는데…경찰·軍 손놓고 있었다,502898
3241,3241,20200225,politics,"충남 천안서도 코로나 확진자… 47세 여성, 지역 감염은 처음",477044
2610,2610,20200218,politics,"""대통령 앞에서 그게 할 소리냐"" 親文, 반찬가게 주인까지 신상털기",472672
7650,7650,20200414,politics,심은하·김제동은 나타났는데…'별' 볼일 없는 유세장 왜,471991
