province,date,avg_relative_humidity
Busan,2020-06-01,66.9
Busan,2020-06-02,50.8
Busan,2020-06-03,81.3
Busan,2020-06-04,78.1
Busan,2020-06-05,79.6
Busan,2020-06-06,69.3
Busan,2020-06-07,49.5
Busan,2020-06-08,40.9
Busan,2020-06-09,49.9
Busan,2020-06-10,68.4
Busan,2020-06-11,93.4
Busan,2020-06-12,89.6
Busan,2020-06-13,95.5
Busan,2020-06-14,89.4
Busan,2020-06-15,63.0
Busan,2020-06-16,49.4
Busan,2020-06-17,63.4
Busan,2020-06-18,93.9
Busan,2020-06-19,75.5
Busan,2020-06-20,73.4
Busan,2020-06-21,73.1
Busan,2020-06-22,69.5
Busan,2020-06-23,70.9
Busan,2020-06-24,80.8
Busan,2020-06-25,96.4
Busan,2020-06-26,76.9
Busan,2020-06-27,75.9
Busan,2020-06-28,70.1
Busan,2020-06-29,90.9
Busan,2020-06-30,77.4
Busan,2020-07-01,81.1
Busan,2020-07-02,72.5
Busan,2020-07-03,81.6
Busan,2020-07-04,79.9
Busan,2020-07-05,79.6
Busan,2020-07-06,90.6
Busan,2020-07-07,88.0
Busan,2020-07-08,82.0
Busan,2020-07-09,87.6
Busan,2020-07-10,96.5
Busan,2020-07-11,89.4
Busan,2020-07-12,91.3
Busan,2020-07-13,97.0
Busan,2020-07-14,93.0
Busan,2020-07-15,83.3
Busan,2020-07-16,76.0
Busan,2020-07-17,75.0
Busan,2020-07-18,78.6
Busan,2020-07-19,91.6
Busan,2020-07-20,89.8
Busan,2020-07-21,84.6
Busan,2020-07-22,95.6
Busan,2020-07-23,97.3
Busan,2020-07-24,88.5
Busan,2020-07-25,90.8
Busan,2020-07-26,80.6
Busan,2020-07-27,94.4
Busan,2020-07-28,96.6
Busan,2020-07-29,96.5
Busan,2020-07-30,91.5
Busan,2020-07-31,84.0
Busan,2020-08-01,81.4
Busan,2020-08-02,83.6
Busan,2020-08-03,82.1
Busan,2020-08-04,85.0
Busan,2020-08-05,91.1
Busan,2020-08-06,88.4
Busan,2020-08-07,90.4
Busan,2020-08-08,94.3
Busan,2020-08-09,90.0
Busan,2020-08-10,91.4
Busan,2020-08-11,90.6
Busan,2020-08-12,92.9
Busan,2020-08-13,83.9
Busan,2020-08-14,81.6
Busan,2020-08-15,80.4
Busan,2020-08-16,78.0
Busan,2020-08-17,78.0
Busan,2020-08-18,74.4
Busan,2020-08-19,74.8
Busan,2020-08-20,66.9
Busan,2020-08-21,76.4
Busan,2020-08-22,73.5
Busan,2020-08-23,77.0
Busan,2020-08-24,78.0
Busan,2020-08-25,78.0
Busan,2020-08-26,79.0
Busan,2020-08-27,89.4
Busan,2020-08-28,86.8
Busan,2020-08-29,83.8
Busan,2020-08-30,77.6
Busan,2020-08-31,74.5
Chungcheongbuk-do,2020-06-01,58.620000000000005
Chungcheongbuk-do,2020-06-02,57.120000000000005
Chungcheongbuk-do,2020-06-03,70.08
Chungcheongbuk-do,2020-06-04,64.34
Chungcheongbuk-do,2020-06-05,64.82000000000001
Chungcheongbuk-do,2020-06-06,60.220000000000006
Chungcheongbuk-do,2020-06-07,60.82000000000001
Chungcheongbuk-do,2020-06-08,65.68
Chungcheongbuk-do,2020-06-09,59.620000000000005
Chungcheongbuk-do,2020-06-10,66.35999999999999
Chungcheongbuk-do,2020-06-11,75.92
Chungcheongbuk-do,2020-06-12,83.82000000000001
Chungcheongbuk-do,2020-06-13,75.72
Chungcheongbuk-do,2020-06-14,77.97999999999999
Chungcheongbuk-do,2020-06-15,64.5
Chungcheongbuk-do,2020-06-16,67.05999999999999
Chungcheongbuk-do,2020-06-17,66.86
Chungcheongbuk-do,2020-06-18,76.8
Chungcheongbuk-do,2020-06-19,70.5
Chungcheongbuk-do,2020-06-20,71.85999999999999
Chungcheongbuk-do,2020-06-21,70.08
Chungcheongbuk-do,2020-06-22,65.32000000000001
Chungcheongbuk-do,2020-06-23,64.04
Chungcheongbuk-do,2020-06-24,76.25999999999999
Chungcheongbuk-do,2020-06-25,89.25999999999999
Chungcheongbuk-do,2020-06-26,77.24000000000001
Chungcheongbuk-do,2020-06-27,75.00000000000001
Chungcheongbuk-do,2020-06-28,72.08000000000001
Chungcheongbuk-do,2020-06-29,81.38000000000001
Chungcheongbuk-do,2020-06-30,88.1
Chungcheongbuk-do,2020-07-01,82.32000000000001
Chungcheongbuk-do,2020-07-02,72.32000000000001
Chungcheongbuk-do,2020-07-03,75.5
Chungcheongbuk-do,2020-07-04,75.75999999999999
Chungcheongbuk-do,2020-07-05,75.6
Chungcheongbuk-do,2020-07-06,78.47999999999999
Chungcheongbuk-do,2020-07-07,77.92
Chungcheongbuk-do,2020-07-08,74.0
Chungcheongbuk-do,2020-07-09,70.2
Chungcheongbuk-do,2020-07-10,80.22
Chungcheongbuk-do,2020-07-11,72.84
Chungcheongbuk-do,2020-07-12,81.97999999999999
Chungcheongbuk-do,2020-07-13,86.94000000000001
Chungcheongbuk-do,2020-07-14,86.86
Chungcheongbuk-do,2020-07-15,84.53999999999999
Chungcheongbuk-do,2020-07-16,78.04
Chungcheongbuk-do,2020-07-17,76.44
Chungcheongbuk-do,2020-07-18,72.04
Chungcheongbuk-do,2020-07-19,79.56
Chungcheongbuk-do,2020-07-20,85.6
Chungcheongbuk-do,2020-07-21,74.11999999999999
Chungcheongbuk-do,2020-07-22,91.47999999999999
Chungcheongbuk-do,2020-07-23,89.88000000000001
Chungcheongbuk-do,2020-07-24,86.25999999999999
Chungcheongbuk-do,2020-07-25,89.0
Chungcheongbuk-do,2020-07-26,87.63999999999999
Chungcheongbuk-do,2020-07-27,86.72
Chungcheongbuk-do,2020-07-28,90.42
Chungcheongbuk-do,2020-07-29,93.16
Chungcheongbuk-do,2020-07-30,92.02000000000001
Chungcheongbuk-do,2020-07-31,84.64000000000001
Chungcheongbuk-do,2020-08-01,86.02000000000001
Chungcheongbuk-do,2020-08-02,87.76
Chungcheongbuk-do,2020-08-03,88.46000000000001
Chungcheongbuk-do,2020-08-04,85.44000000000001
Chungcheongbuk-do,2020-08-05,90.66
Chungcheongbuk-do,2020-08-06,90.35999999999999
Chungcheongbuk-do,2020-08-07,94.24000000000001
Chungcheongbuk-do,2020-08-08,94.46
Chungcheongbuk-do,2020-08-09,87.67999999999999
Chungcheongbuk-do,2020-08-10,92.64000000000001
Chungcheongbuk-do,2020-08-11,92.53999999999999
Chungcheongbuk-do,2020-08-12,91.5
Chungcheongbuk-do,2020-08-13,82.97999999999999
Chungcheongbuk-do,2020-08-14,79.84
Chungcheongbuk-do,2020-08-15,82.05999999999999
Chungcheongbuk-do,2020-08-16,80.02000000000001
Chungcheongbuk-do,2020-08-17,79.25999999999999
Chungcheongbuk-do,2020-08-18,80.1
Chungcheongbuk-do,2020-08-19,78.34
Chungcheongbuk-do,2020-08-20,76.92
Chungcheongbuk-do,2020-08-21,77.97999999999999
Chungcheongbuk-do,2020-08-22,83.56
Chungcheongbuk-do,2020-08-23,78.96
Chungcheongbuk-do,2020-08-24,78.63999999999999
Chungcheongbuk-do,2020-08-25,76.58
Chungcheongbuk-do,2020-08-26,77.3
Chungcheongbuk-do,2020-08-27,81.17999999999999
Chungcheongbuk-do,2020-08-28,83.86
Chungcheongbuk-do,2020-08-29,89.64
Chungcheongbuk-do,2020-08-30,85.5
Chungcheongbuk-do,2020-08-31,78.91999999999999
Chungcheongnam-do,2020-06-01,73.41428571428571
Chungcheongnam-do,2020-06-02,74.07142857142857
Chungcheongnam-do,2020-06-03,83.2
Chungcheongnam-do,2020-06-04,82.48571428571428
Chungcheongnam-do,2020-06-05,80.11428571428571
Chungcheongnam-do,2020-06-06,79.02857142857144
Chungcheongnam-do,2020-06-07,77.7
Chungcheongnam-do,2020-06-08,68.21428571428572
Chungcheongnam-do,2020-06-09,60.57142857142856
Chungcheongnam-do,2020-06-10,73.9857142857143
Chungcheongnam-do,2020-06-11,81.91428571428571
Chungcheongnam-do,2020-06-12,90.02857142857144
Chungcheongnam-do,2020-06-13,85.21428571428571
Chungcheongnam-do,2020-06-14,83.52857142857142
Chungcheongnam-do,2020-06-15,75.44285714285715
Chungcheongnam-do,2020-06-16,75.95714285714287
Chungcheongnam-do,2020-06-17,78.3
Chungcheongnam-do,2020-06-18,82.91428571428571
Chungcheongnam-do,2020-06-19,75.15714285714286
Chungcheongnam-do,2020-06-20,79.79999999999998
Chungcheongnam-do,2020-06-21,71.15714285714286
Chungcheongnam-do,2020-06-22,71.07142857142857
Chungcheongnam-do,2020-06-23,73.42857142857143
Chungcheongnam-do,2020-06-24,81.58571428571429
Chungcheongnam-do,2020-06-25,91.20000000000002
Chungcheongnam-do,2020-06-26,81.57142857142857
Chungcheongnam-do,2020-06-27,78.34285714285714
Chungcheongnam-do,2020-06-28,80.82857142857142
Chungcheongnam-do,2020-06-29,89.77142857142859
Chungcheongnam-do,2020-06-30,93.2
Chungcheongnam-do,2020-07-01,84.31428571428572
Chungcheongnam-do,2020-07-02,80.52857142857142
Chungcheongnam-do,2020-07-03,81.82857142857142
Chungcheongnam-do,2020-07-04,81.84285714285714
Chungcheongnam-do,2020-07-05,83.12857142857142
Chungcheongnam-do,2020-07-06,82.04285714285713
Chungcheongnam-do,2020-07-07,83.71428571428571
Chungcheongnam-do,2020-07-08,82.64285714285714
Chungcheongnam-do,2020-07-09,78.12857142857142
Chungcheongnam-do,2020-07-10,81.32857142857144
Chungcheongnam-do,2020-07-11,78.04285714285713
Chungcheongnam-do,2020-07-12,89.6
Chungcheongnam-do,2020-07-13,94.72857142857141
Chungcheongnam-do,2020-07-14,92.75714285714285
Chungcheongnam-do,2020-07-15,88.57142857142857
Chungcheongnam-do,2020-07-16,82.67142857142856
Chungcheongnam-do,2020-07-17,80.14285714285714
Chungcheongnam-do,2020-07-18,78.89999999999999
Chungcheongnam-do,2020-07-19,80.71428571428571
Chungcheongnam-do,2020-07-20,89.89999999999999
Chungcheongnam-do,2020-07-21,80.3142857142857
Chungcheongnam-do,2020-07-22,93.35714285714288
Chungcheongnam-do,2020-07-23,94.5
Chungcheongnam-do,2020-07-24,90.38571428571429
Chungcheongnam-do,2020-07-25,85.12857142857142
Chungcheongnam-do,2020-07-26,88.74285714285715
Chungcheongnam-do,2020-07-27,88.92857142857143
Chungcheongnam-do,2020-07-28,92.39999999999999
Chungcheongnam-do,2020-07-29,95.28571428571429
Chungcheongnam-do,2020-07-30,93.58333333333333
Chungcheongnam-do,2020-07-31,92.37142857142858
Chungcheongnam-do,2020-08-01,90.1
Chungcheongnam-do,2020-08-02,85.67142857142856
Chungcheongnam-do,2020-08-03,87.04285714285713
Chungcheongnam-do,2020-08-04,83.14285714285714
Chungcheongnam-do,2020-08-05,86.07142857142856
Chungcheongnam-do,2020-08-06,92.84285714285714
Chungcheongnam-do,2020-08-07,96.02857142857142
Chungcheongnam-do,2020-08-08,97.28571428571429
Chungcheongnam-do,2020-08-09,87.57142857142857
Chungcheongnam-do,2020-08-10,90.21428571428571
Chungcheongnam-do,2020-08-11,94.07142857142856
Chungcheongnam-do,2020-08-12,92.5142857142857
Chungcheongnam-do,2020-08-13,84.17142857142856
Chungcheongnam-do,2020-08-14,84.12857142857142
Chungcheongnam-do,2020-08-15,83.61428571428571
Chungcheongnam-do,2020-08-16,84.22857142857143
Chungcheongnam-do,2020-08-17,83.55714285714284
Chungcheongnam-do,2020-08-18,83.2
Chungcheongnam-do,2020-08-19,82.4857142857143
Chungcheongnam-do,2020-08-20,81.91428571428571
Chungcheongnam-do,2020-08-21,83.82857142857142
Chungcheongnam-do,2020-08-22,87.64285714285714
Chungcheongnam-do,2020-08-23,81.42857142857143
Chungcheongnam-do,2020-08-24,79.48571428571428
Chungcheongnam-do,2020-08-25,75.27142857142857
Chungcheongnam-do,2020-08-26,76.32857142857142
Chungcheongnam-do,2020-08-27,82.22857142857143
Chungcheongnam-do,2020-08-28,86.0142857142857
Chungcheongnam-do,2020-08-29,92.12857142857142
Chungcheongnam-do,2020-08-30,87.6
Chungcheongnam-do,2020-08-31,83.72857142857143
Daegu,2020-06-01,47.8
Daegu,2020-06-02,41.9
Daegu,2020-06-03,56.5
Daegu,2020-06-04,56.5
Daegu,2020-06-05,61.0
Daegu,2020-06-06,65.9
Daegu,2020-06-07,53.9
Daegu,2020-06-08,46.6
Daegu,2020-06-09,46.3
Daegu,2020-06-10,54.8
Daegu,2020-06-11,77.4
Daegu,2020-06-12,79.5
Daegu,2020-06-13,81.5
Daegu,2020-06-14,80.9
Daegu,2020-06-15,53.9
Daegu,2020-06-16,49.9
Daegu,2020-06-17,54.4
Daegu,2020-06-18,84.6
Daegu,2020-06-19,70.6
Daegu,2020-06-20,62.8
Daegu,2020-06-21,64.1
Daegu,2020-06-22,56.1
Daegu,2020-06-23,53.4
Daegu,2020-06-24,75.4
Daegu,2020-06-25,86.1
Daegu,2020-06-26,60.3
Daegu,2020-06-27,59.4
Daegu,2020-06-28,59.1
Daegu,2020-06-29,82.0
Daegu,2020-06-30,72.6
Daegu,2020-07-01,69.1
Daegu,2020-07-02,64.1
Daegu,2020-07-03,73.9
Daegu,2020-07-04,75.8
Daegu,2020-07-05,70.1
Daegu,2020-07-06,74.6
Daegu,2020-07-07,70.4
Daegu,2020-07-08,64.5
Daegu,2020-07-09,74.3
Daegu,2020-07-10,84.0
Daegu,2020-07-11,71.6
Daegu,2020-07-12,82.8
Daegu,2020-07-13,89.3
Daegu,2020-07-14,89.6
Daegu,2020-07-15,83.8
Daegu,2020-07-16,65.8
Daegu,2020-07-17,65.9
Daegu,2020-07-18,71.0
Daegu,2020-07-19,78.4
Daegu,2020-07-20,63.4
Daegu,2020-07-21,64.9
Daegu,2020-07-22,94.3
Daegu,2020-07-23,91.8
Daegu,2020-07-24,91.1
Daegu,2020-07-25,93.6
Daegu,2020-07-26,75.0
Daegu,2020-07-27,89.9
Daegu,2020-07-28,91.8
Daegu,2020-07-29,94.4
Daegu,2020-07-30,91.8
Daegu,2020-07-31,81.0
Daegu,2020-08-01,74.9
Daegu,2020-08-02,69.6
Daegu,2020-08-03,66.3
Daegu,2020-08-04,66.8
Daegu,2020-08-05,68.9
Daegu,2020-08-06,72.6
Daegu,2020-08-07,93.6
Daegu,2020-08-08,96.9
Daegu,2020-08-09,71.6
Daegu,2020-08-10,90.1
Daegu,2020-08-11,81.8
