code,province,date,avg_relative_humidity
90,Gangwon-do,2020-06-01,40.8
93,Gangwon-do,2020-06-01,58.1
95,Gangwon-do,2020-06-01,67.6
98,Gyeonggi-do,2020-06-01,69
99,Gyeonggi-do,2020-06-01,71.1
100,Gangwon-do,2020-06-01,65.9
101,Gangwon-do,2020-06-01,53
102,Incheon,2020-06-01,67.3
104,Gangwon-do,2020-06-01,40.9
105,Gangwon-do,2020-06-01,44.6
106,Gangwon-do,2020-06-01,44
108,Seoul,2020-06-01,64.3
112,Incheon,2020-06-01,78.4
114,Gangwon-do,2020-06-01,53.1
115,Gyeongsangbuk-do,2020-06-01,62.9
119,Gyeonggi-do,2020-06-01,74.3
121,Gangwon-do,2020-06-01,55.4
127,Chungcheongbuk-do,2020-06-01,60.3
129,Chungcheongnam-do,2020-06-01,78.8
130,Gyeongsangbuk-do,2020-06-01,45.8
131,Chungcheongbuk-do,2020-06-01,52.6
133,Daejeon,2020-06-01,60.3
135,Chungcheongbuk-do,2020-06-01,55.1
136,Gyeongsangbuk-do,2020-06-01,48.1
137,Gyeongsangbuk-do,2020-06-01,56.6
138,Gyeongsangbuk-do,2020-06-01,46.6
140,Jeollabuk-do,2020-06-01,85
143,Daegu,2020-06-01,47.8
146,Jeollabuk-do,2020-06-01,73.9
152,Ulsan,2020-06-01,58.5
155,Gyeongsangnam-do,2020-06-01,58.9
156,Gwangju,2020-06-01,64.4
159,Busan,2020-06-01,66.9
162,Gyeongsangnam-do,2020-06-01,73.8
165,Jeollanam-do,2020-06-01,86.1
168,Jeollanam-do,2020-06-01,60
169,Jeollanam-do,2020-06-01,91.6
170,Jeollanam-do,2020-06-01,74.4
172,Jeollabuk-do,2020-06-01,83.8
174,Jeollanam-do,2020-06-01,62
177,Chungcheongnam-do,2020-06-01,70.5
184,Jeju-do,2020-06-01,83
185,Jeju-do,2020-06-01,97.1
188,Jeju-do,2020-06-01,73.3
189,Jeju-do,2020-06-01,98.8
